6,5,Desiree
6,2,Cicily
2,1,Estella
1,4,Rea
1,1,Ursala
5,2,Ximenes
8,4,Nance
4,4,Joela
5,5,Antonin
2,5,Zack
5,2,Randall
7,4,Normie
3,5,Scot
1,4,Diego
6,4,Helga
3,5,Marcelo
7,2,Norby
3,1,Lief
6,3,Mahmud
5,3,Amye
2,3,Theodosia
6,5,Manuel
2,5,Halsey
1,4,Mercie
2,4,Frants
5,4,Mayne
8,5,Abram
6,1,Tiff
7,5,Kilian
3,4,Toiboid
6,3,Kissie
4,2,Carter
8,3,Silvan
4,5,Abbey
3,3,Cart
6,2,Gerhardt
2,5,Roberta
2,5,Tatiana
6,4,Hilliary
5,5,Loydie
5,4,Abram
2,4,Danila
3,2,Sherlocke
5,4,Ambrose
8,5,Jonie
6,4,Freeland
5,4,Hashim
7,3,Julienne
7,1,Rosmunda
2,1,Farrell
6,4,Agneta
6,5,Kipper
8,1,Elijah
8,5,Gratiana
8,4,Josiah
8,1,Steve
8,2,Nessie
4,1,Vanya
6,3,Joel
3,3,Candis
2,3,Wesley
6,4,Murray
2,4,Chaddy
8,3,Miguel
2,2,Aylmer
4,3,Samara
8,2,Devina
5,4,Colby
7,5,Skelly
2,3,Marchelle
6,2,Billie
3,3,Noel
8,2,Claybourne
8,4,Ross
6,3,Wes
2,4,Gamaliel
1,3,Clementina
5,5,Vinita
1,3,Jill
4,3,Berk
2,1,Lethia
1,1,Clemmy
6,2,Olivette
5,5,Alyssa
5,3,Brigg
3,4,Elmira
8,5,Rube
1,3,Andrew
7,3,Cindie
7,3,Genvieve
7,4,Roarke
4,5,Lane
4,1,Oralie
5,5,Analise
2,4,Sawyer
3,4,Malvina
7,4,Gracia
6,5,Silva
4,4,Nial
7,1,Marj
